term_id	term_name	n_methods_tested	n_methods_significant	pvalue	fold_enrichment

Disease Ontology:
DOID:0080600	COVID-19	1	1	0.0017684230915088	30.9239766081871
DOID:11405	diphtheria	1	1	0.0056617873301309	176.266666666667
DOID:14735	hereditary angioedema	1	1	0.0079185118454123	125.904761904762
DOID:401	multidrug-resistant tuberculosis	1	1	0.0079185118454123	125.904761904762
DOID:399	tuberculosis	1	1	0.0090320325927596	13.4554707379135
DOID:1558	angioedema	1	1	0.010170682497384	97.9259259259259
DOID:3385	bacterial vaginosis	1	1	0.0124183073286942	80.1212121212121
DOID:9470	bacterial meningitis	1	1	0.0124183073286942	80.1212121212121
DOID:2224	essential thrombocythemia	1	1	0.0168999516390452	58.7555555555556
DOID:3087	gingivitis	1	1	0.0191339871425532	51.843137254902
DOID:10873	Kuhnt-Junius degeneration	1	1	0.0269176178042292	36.7222222222222
DOID:898	autosomal dominant polycystic kidney disease	1	1	0.0269176178042292	36.7222222222222
DOID:0080998	acute necrotizing pancreatitis	1	1	0.0291314041132699	33.8974358974359
DOID:9471	meningitis	1	1	0.0302366175414233	32.641975308642
DOID:2228	thrombocytosis	1	1	0.0313407124740137	31.4761904761905
DOID:1116	pertussis	1	1	0.0324436899016114	30.3908045977011
DOID:14115	toxic shock syndrome	1	1	0.037941849082063	25.921568627451
DOID:986	alopecia areata	1	1	0.0401333248051161	24.4814814814815
DOID:8432	polycythemia	1	1	0.0477685887963002	20.4961240310077
DOID:987	alopecia	1	1	0.0521073150036568	18.7517730496454

Gene Ontology:
GO:0042742	defense response to bacterium	2	2	0.0	9.785932721712538
GO:0050830	defense response to Gram-positive bacterium	2	2	1.99840144432528e-15	12.62135922330097
GO:0032760	positive regulation of tumor necrosis factor production	2	2	6.61914967281518e-13	4.069767441860465
GO:0071222	cellular response to lipopolysaccharide	2	2	1.2355005907238599e-11	4.72972972972973
GO:0031640	killing of cells of another organism	2	2	1.1480937061302518e-10	12.63157894736842
GO:0034341	response to type II interferon	2	2	2.58250976159502e-10	6.857142857142857
GO:0050729	positive regulation of inflammatory response	2	2	9.63674778918622e-10	7.511737089201878
GO:0050832	defense response to fungus	2	2	3.1980198489378604e-09	11.267605633802818
GO:0032731	positive regulation of interleukin-1 beta production	2	2	5.849554618464481e-09	6.315789473684211
GO:0002221	pattern recognition receptor signaling pathway	2	2	6.498996184228676e-09	4.805491990846682
GO:0019731	antibacterial humoral response	2	2	9.12755382387331e-09	9.090909090909092
GO:0070269	pyroptotic inflammatory response	2	2	1.936541243662084e-08	13.043478260869566
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	2	2	2.3267028454894083e-08	9.243697478991598
GO:0002227	innate immune response in mucosa	2	2	4.5374788149033e-08	15.0
GO:0045071	negative regulation of viral genome replication	2	2	8.443968165498346e-07	10.38961038961039
GO:0050829	defense response to Gram-negative bacterium	2	2	2.15634743327975e-06	8.333333333333334
GO:0035456	response to interferon-beta	2	2	2.737341847476858e-06	13.461538461538462
GO:0032729	positive regulation of type II interferon production	2	2	3.79356102575557e-06	4.166666666666667
GO:0006958	complement activation, classical pathway	2	2	1.019253749456264e-05	11.538461538461538
GO:0045824	negative regulation of innate immune response	2	2	1.35167982149298e-05	5.555555555555555
GO:0060337	type I interferon-mediated signaling pathway	2	2	4.463046549532149e-05	7.4766355140186915
GO:0002767	immune response-inhibiting cell surface receptor signaling pathway	2	2	4.72134770503896e-05	6.666666666666666
GO:0032691	negative regulation of interleukin-1 beta production	2	2	6.25885967564521e-05	8.88888888888889
GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	2	2	6.467171110347e-05	3.488372093023256
GO:0006953	acute-phase response	2	2	8.541069568890241e-05	10.869565217391305
GO:0046456	icosanoid biosynthetic process	2	2	9.49280034772464e-05	7.042253521126761
GO:0042832	defense response to protozoan	2	2	0.00010027310695690512	15.384615384615383
GO:0043368	positive T cell selection	2	2	0.00016592633211473786	6.666666666666667
GO:0050853	B cell receptor signaling pathway	2	2	0.00017146865333076723	7.563025210084034
GO:0016045	detection of bacterium	2	2	0.0002076248109168	12.5
GO:0048525	negative regulation of viral process	2	2	0.0003671805031593	9.649122807017545
GO:0071639	positive regulation of monocyte chemotactic protein-1 production	2	2	0.0005512436381571543	17.64705882352941
GO:0071346	cellular response to type II interferon	2	2	0.0006191860936575697	7.017543859649123
GO:0045671	negative regulation of osteoclast differentiation	2	2	0.0006237316066104	8.333333333333334
GO:0031342	negative regulation of cell killing	2	2	0.0008696538116961933	5.769230769230769
GO:0002283	neutrophil activation involved in immune response	2	2	0.001125588214788	12.5
GO:0045916	negative regulation of complement activation	2	2	0.0011679388592809	13.636363636363637
GO:0002281	macrophage activation involved in immune response	2	2	0.0020050570706595	10.714285714285714
GO:0071347	cellular response to interleukin-1	2	2	0.0028578877945078	4.032258064516129
GO:0032682	negative regulation of chemokine production	2	2	0.0046124775073073	8.823529411764705
GO:0043374	CD8-positive, alpha-beta T cell differentiation	2	2	0.0054411056815764	7.317073170731708
GO:0009617	response to bacterium	2	1	0.0	5.444887118193891
GO:0045087	innate immune response	2	1	0.0	4.80439258750858
GO:0016070	RNA metabolic process	2	1	4.3690547247129696e-82	0.6642903434867142
GO:0141187	nucleic acid biosynthetic process	2	1	4.99201183983722e-78	0.6177992987143096
GO:0032774	RNA biosynthetic process	2	1	3.2914060050474296e-77	0.6347572482415509
GO:0006396	RNA processing	2	1	4.8104224909858e-33	0.2495321272613848
GO:0022613	ribonucleoprotein complex biogenesis	2	1	2.3429177697385204e-25	0.4854368932038835
GO:0016071	mRNA metabolic process	2	1	3.88709757983112e-20	0.3311258278145695
GO:0042254	ribosome biogenesis	2	1	1.7401287044308e-19	0.5484460694698355
GO:0006397	mRNA processing	2	1	1.88844499186354e-18	0.125
GO:0008380	RNA splicing	2	1	7.49504440789015e-16	0.2677376171352075
GO:0002181	cytoplasmic translation	2	1	9.35707195088143e-16	1.4124293785310735
GO:0071706	tumor necrosis factor superfamily cytokine production	2	1	1.77635683940025e-15	3.802281368821293
GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	2	1	1.77635683940025e-15	3.802281368821293
GO:0016072	rRNA metabolic process	2	1	2.39191422557679e-15	0.4123711340206186
GO:0006364	rRNA processing	2	1	9.048491691973471e-15	0.5012531328320802
GO:0032640	tumor necrosis factor production	2	1	1.50990331349021e-14	3.515625
GO:0032680	regulation of tumor necrosis factor production	2	1	1.50990331349021e-14	3.515625
GO:1903557	positive regulation of tumor necrosis factor superfamily cytokine production	2	1	1.73638881051374e-13	3.9548022598870056
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	2	1	1.98618100369603e-12	0.0
GO:0000398	mRNA splicing, via spliceosome	2	1	1.98618100369603e-12	0.0
GO:0000375	RNA splicing, via transesterification reactions	2	1	4.71301064977116e-12	0.0
GO:0043484	regulation of RNA splicing	2	1	5.18032070335903e-12	0.6711409395973155
GO:0071219	cellular response to molecule of bacterial origin	2	1	6.59317045403895e-12	4.545454545454545
GO:0000380	alternative mRNA splicing, via spliceosome	2	1	1.13108911147476e-11	0.0
GO:1903311	regulation of mRNA metabolic process	2	1	1.3220787905945299e-11	0.3891050583657587
GO:0032612	interleukin-1 production	2	1	1.9806822848522598e-11	6.666666666666667
GO:0032652	regulation of interleukin-1 production	2	1	1.9806822848522598e-11	6.666666666666667
GO:0071216	cellular response to biotic stimulus	2	1	2.25757190719378e-11	4.069767441860465
GO:1901740	negative regulation of myoblast fusion	2	1	2.5818369829944598e-11	2.469135802469136
GO:0034242	negative regulation of syncytium formation by plasma membrane fusion	2	1	3.9306880963463e-11	2.409638554216868
GO:0032611	interleukin-1 beta production	2	1	4.8002490871113e-11	6.993006993006993
GO:0032651	regulation of interleukin-1 beta production	2	1	4.8002490871113e-11	6.993006993006993
GO:0042274	ribosomal small subunit biogenesis	2	1	8.0375980797267e-11	1.0869565217391304
GO:0046631	alpha-beta T cell activation	2	1	1.2625411959888748e-10	6.57439446366782
GO:0032496	response to lipopolysaccharide	2	1	1.46178846804901e-10	3.87409200968523
GO:0009620	response to fungus	2	1	1.76282322073007e-10	10.126582278481012
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	2	1	1.82822192667652e-10	0.0
GO:0002237	response to molecule of bacterial origin	2	1	2.04394501324145e-10	3.72093023255814
GO:0022618	protein-RNA complex assembly	2	1	2.3460769156872004e-10	0.7957559681697612
GO:0009060	aerobic respiration	2	1	6.39877262287314e-10	0.9523809523809524
GO:0006119	oxidative phosphorylation	2	1	8.839884380051901e-10	0.0
GO:0071826	protein-RNA complex organization	2	1	1.18411906541232e-09	1.020408163265306
GO:0072593	reactive oxygen species metabolic process	2	1	1.6033072647303501e-09	2.166064981949458
GO:0048024	regulation of mRNA splicing, via spliceosome	2	1	3.18431077307215e-09	0.0
GO:0042773	ATP synthesis coupled electron transport	2	1	3.7026302024401e-09	0.0
GO:0042775	mitochondrial ATP synthesis coupled electron transport	2	1	3.7026302024401e-09	0.0
GO:0006403	RNA localization	2	1	4.11166753482756e-09	0.303030303030303
GO:0045333	cellular respiration	2	1	4.91717444539574e-09	1.0615711252653928
GO:0050684	regulation of mRNA processing	2	1	4.9826225673557e-09	0.0
GO:0071357	cellular response to type I interferon	2	1	6.614425229756191e-09	5.325443786982249
GO:0051607	defense response to virus	2	1	7.142105017217893e-09	5.895196506550218
GO:0034340	response to type I interferon	2	1	8.76309957931198e-09	5.084745762711864
GO:0022900	electron transport chain	2	1	1.06681901090866e-08	0.0
GO:0071345	cellular response to cytokine stimulus	2	1	1.6559122073545e-08	4.187437686939183
GO:1901739	regulation of myoblast fusion	2	1	1.66307864936785e-08	3.125
GO:0019646	aerobic electron transport chain	2	1	2.45636666562632e-08	0.0
GO:2000377	regulation of reactive oxygen species metabolic process	2	1	2.45653446473426e-08	2.072538860103627
GO:0022904	respiratory electron transport chain	2	1	2.73834526165473e-08	0.0
GO:0019730	antimicrobial humoral response	2	1	2.94336444106591e-08	7.272727272727273
GO:0032757	positive regulation of interleukin-8 production	2	1	3.11108769857071e-08	4.2105263157894735
GO:0006909	phagocytosis	2	1	3.17331201316051e-08	2.359882005899705
GO:0009144	purine nucleoside triphosphate metabolic process	2	1	3.63539434111715e-08	1.0610079575596818
GO:0015986	proton motive force-driven ATP synthesis	2	1	4.3711579911232e-08	0.7874015748031495
GO:0032732	positive regulation of interleukin-1 production	2	1	4.73296219993813e-08	5.555555555555555
GO:0046034	ATP metabolic process	2	1	5.64980142669924e-08	1.1976047904191618
GO:0009205	purine ribonucleoside triphosphate metabolic process	2	1	7.11414942511368e-08	1.0869565217391304
GO:0007520	myoblast fusion	2	1	7.44029841445289e-08	2.5210084033613445
GO:0009145	purine nucleoside triphosphate biosynthetic process	2	1	8.88349789285314e-08	0.5649717514124294
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	2	1	8.88349789285314e-08	0.5649717514124294
GO:0032637	interleukin-8 production	2	1	1.12311797861864e-07	3.1746031746031744
GO:0032677	regulation of interleukin-8 production	2	1	1.12311797861864e-07	3.1746031746031744
GO:0006959	humoral immune response	2	1	1.47700733199585e-07	8.098591549295776
GO:0007040	lysosome organization	2	1	1.50750901539709e-07	0.5714285714285714
GO:0080171	lytic vacuole organization	2	1	1.50750901539709e-07	0.5714285714285714
GO:0006754	ATP biosynthetic process	2	1	1.76335608337297e-07	0.6134969325153374
GO:0032722	positive regulation of chemokine production	2	1	1.8894337139308e-07	4.49438202247191
GO:1901136	carbohydrate derivative catabolic process	2	1	1.90813415734681e-07	1.9178082191780823
GO:0002274	myeloid leukocyte activation	2	1	2.20210344181737e-07	4.037267080745341
GO:2000379	positive regulation of reactive oxygen species metabolic process	2	1	2.2218399520213e-07	2.9702970297029703
GO:0019827	stem cell population maintenance	2	1	3.4865963465852e-07	1.7647058823529411
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	2	1	3.99703688813702e-07	0.0
GO:0009201	ribonucleoside triphosphate biosynthetic process	2	1	4.54179505338104e-07	0.53475935828877
GO:0032602	chemokine production	2	1	4.62222085495512e-07	4.166666666666667
GO:0032642	regulation of chemokine production	2	1	4.62222085495512e-07	4.166666666666667
GO:0060142	regulation of syncytium formation by plasma membrane fusion	2	1	5.82026112676237e-07	2.912621359223301
GO:0001906	cell killing	2	1	5.86335414887174e-07	6.545454545454546
GO:0009142	nucleoside triphosphate biosynthetic process	2	1	5.97266966773091e-07	0.5050505050505051
GO:0050852	T cell receptor signaling pathway	2	1	6.295517538076233e-07	8.035714285714285
