ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
DOID:0080600	COVID-19	2/9	57/7932	0.0350877192982456	30.9239766081871	7.6413810121817	0.00176842309150887	0.0558823829791239	0.0277777927089212	SERPING1/IFITM3	2
DOID:11405	diphtheria	1/9	5/7932	0.2	176.266666666667	13.2120528365418	0.0056617873301309	0.0558823829791239	0.0277777927089212	DEFA1	1
DOID:14735	hereditary angioedema	1/9	7/7932	0.142857142857143	125.904761904762	11.142144389299	0.00791851184541237	0.0558823829791239	0.0277777927089212	SERPING1	1
DOID:401	multidrug-resistant tuberculosis	1/9	7/7932	0.142857142857143	125.904761904762	11.142144389299	0.00791851184541237	0.0558823829791239	0.0277777927089212	DEFA1	1
DOID:399	tuberculosis	2/9	131/7932	0.0152671755725191	13.4554707379135	4.84463493227858	0.00903203259275964	0.0558823829791239	0.0277777927089212	DEFA1/FCGR1A	2
DOID:1558	angioedema	1/9	9/7932	0.111111111111111	97.9259259259259	9.8052074592296	0.010170682497384	0.0558823829791239	0.0277777927089212	SERPING1	1
DOID:3385	bacterial vaginosis	1/9	11/7932	0.0909090909090909	80.1212121212121	8.84992661705123	0.0124183073286942	0.0558823829791239	0.0277777927089212	DEFA1	1
DOID:9470	bacterial meningitis	1/9	11/7932	0.0909090909090909	80.1212121212121	8.84992661705123	0.0124183073286942	0.0558823829791239	0.0277777927089212	GBP1	1
DOID:2224	essential thrombocythemia	1/9	15/7932	0.0666666666666667	58.7555555555556	7.54569895472512	0.0168999516390452	0.0675998065561809	0.0336022430250022	CD177	1
DOID:3087	gingivitis	1/9	17/7932	0.0588235294117647	51.843137254902	7.07248025161634	0.0191339871425532	0.0688823537131916	0.0342397664656215	DEFA1	1
DOID:10873	Kuhnt-Junius degeneration	1/9	24/7932	0.0416666666666667	36.7222222222222	5.90678495528048	0.0269176178042292	0.0729983022786256	0.0362857058110127	SERPING1	1
DOID:898	autosomal dominant polycystic kidney disease	1/9	24/7932	0.0416666666666667	36.7222222222222	5.90678495528048	0.0269176178042292	0.0729983022786256	0.0362857058110127	SERPING1	1
DOID:0080998	acute necrotizing pancreatitis	1/9	26/7932	0.0384615384615385	33.8974358974359	5.66253266131725	0.0291314041132699	0.0729983022786256	0.0362857058110127	SERPING1	1
DOID:9471	meningitis	1/9	27/7932	0.037037037037037	32.641975308642	5.55053613003494	0.0302366175414233	0.0729983022786256	0.0362857058110127	GBP1	1
DOID:2228	thrombocytosis	1/9	28/7932	0.0357142857142857	31.4761904761905	5.44448280862211	0.0313407124740137	0.0729983022786256	0.0362857058110127	CD177	1
DOID:1116	pertussis	1/9	29/7932	0.0344827586206897	30.3908045977011	5.34385770197028	0.0324436899016114	0.0729983022786256	0.0362857058110127	SERPING1	1
DOID:14115	toxic shock syndrome	1/9	34/7932	0.0294117647058824	25.921568627451	4.9079109020977	0.037941849082063	0.0802666496102322	0.0398986269992382	SERPING1	1
DOID:986	alopecia areata	1/9	36/7932	0.0277777777777778	24.4814814814815	4.75897667235513	0.0401333248051161	0.0802666496102322	0.0398986269992382	FCGR1A	1
DOID:8432	polycythemia	1/9	43/7932	0.0232558139534884	20.4961240310077	4.32028035740861	0.0477685887963002	0.0905089050877267	0.0449898066225542	CD177	1
DOID:987	alopecia	1/9	47/7932	0.0212765957446809	18.7517730496454	4.11367728666325	0.0521073150036568	0.0937931670065823	0.0466223344769561	FCGR1A	1
