GO_ID	term	annotated	significant_genes	auc	pvalue_wilcoxon	padj_wilcoxon_BH	direction	significant
GO:0001819	positive regulation of cytokine production	407	31	0.589540181855032	6.06082961596144e-10	3.11424684379028e-08	Higher in TB	FALSE
GO:0009060	aerobic respiration	244	4	0.614971556950137	6.39877262287314e-10	3.25744924819968e-08	Higher in TB	TRUE
GO:0006119	oxidative phosphorylation	127	0	0.657541654939906	8.8398843800519e-10	4.45887012124086e-08	Higher in TB	TRUE
GO:0006259	DNA metabolic process	904	8	0.439941508368538	1.04828396798816e-09	5.23951386908992e-08	Lower in TB	FALSE
GO:0071826	protein-RNA complex organization	228	4	0.382997586387913	1.18411906541232e-09	5.86512308255579e-08	Lower in TB	TRUE
GO:0007049	cell cycle	1386	26	0.451047323603715	1.24571042385079e-09	6.11510349136753e-08	Lower in TB	FALSE
GO:0016050	vesicle organization	331	3	0.597220444995591	1.25938126593894e-09	6.12750283197549e-08	Higher in TB	FALSE
GO:0045088	regulation of innate immune response	422	30	0.585893398940802	1.515466419022e-09	7.30880208051139e-08	Higher in TB	FALSE
GO:0072593	reactive oxygen species metabolic process	161	6	0.637868909378496	1.60330726473035e-09	7.66520290564126e-08	Higher in TB	TRUE
GO:0032103	positive regulation of response to external stimulus	531	33	0.576478763092249	1.77324332994999e-09	8.40456192074574e-08	Higher in TB	FALSE
GO:0002831	regulation of response to biotic stimulus	501	35	0.578645295378981	1.79426629109969e-09	8.43151800723597e-08	Higher in TB	FALSE
GO:1902680	positive regulation of RNA biosynthetic process	1299	23	0.450359533495361	2.25726070246008e-09	1.0517304527225e-07	Lower in TB	FALSE
GO:0006091	generation of precursor metabolites and energy	382	6	0.588920379582583	2.54839482849434e-09	1.17740124092957e-07	Higher in TB	FALSE
GO:0045893	positive regulation of DNA-templated transcription	1296	23	0.450543408771257	2.68783580972918e-09	1.23147677349092e-07	Lower in TB	FALSE
GO:0010608	post-transcriptional regulation of gene expression	496	6	0.421922797118422	2.80014934833714e-09	1.27233232373203e-07	Lower in TB	FALSE
GO:0048024	regulation of mRNA splicing, via spliceosome	104	0	0.331898515548634	3.18431077307215e-09	1.42948887231385e-07	Lower in TB	TRUE
GO:0050832	defense response to fungus	41	8	0.767244956055678	3.19801984893786e-09	1.42948887231385e-07	Higher in TB	TRUE
GO:0042773	ATP synthesis coupled electron transport	86	0	0.683993644995434	3.7026302024401e-09	1.62856486824126e-07	Higher in TB	TRUE
GO:0042775	mitochondrial ATP synthesis coupled electron transport	86	0	0.683993644995434	3.7026302024401e-09	1.62856486824126e-07	Higher in TB	TRUE
GO:0006403	RNA localization	192	1	0.376869578644594	4.11166753482756e-09	1.7941228655938e-07	Lower in TB	TRUE
GO:0045333	cellular respiration	274	5	0.60277980733608	4.91717444539574e-09	2.12871063785715e-07	Higher in TB	TRUE
GO:0050684	regulation of mRNA processing	125	0	0.348499595709126	4.9826225673557e-09	2.1401920996345e-07	Lower in TB	TRUE
GO:0006974	DNA damage response	878	10	0.441841703183358	5.62680050684212e-09	2.39815109973783e-07	Lower in TB	FALSE
GO:0032731	positive regulation of interleukin-1 beta production	55	6	0.726923170809106	5.84955461846448e-09	2.47391163787059e-07	Higher in TB	TRUE
GO:0071357	cellular response to type I interferon	98	9	0.669594385283449	6.61442522975619e-09	2.77603892467172e-07	Higher in TB	TRUE
GO:0034340	response to type I interferon	103	9	0.664098474714574	8.76309957931198e-09	3.64996374901949e-07	Higher in TB	TRUE
GO:0019731	antibacterial humoral response	51	8	0.732600605342808	9.12755382387331e-09	3.7731797686959e-07	Higher in TB	TRUE
GO:0022900	electron transport chain	110	0	0.657901050796666	1.06681901090866e-08	4.37714247908643e-07	Higher in TB	TRUE
GO:0050729	positive regulation of inflammatory response	124	16	0.648109846429913	1.2401029314546e-08	5.05043401269437e-07	Higher in TB	TRUE
GO:0006810	transport	3373	69	0.531084001577077	1.50754815297915e-08	6.09448510667602e-07	Higher in TB	FALSE
GO:0071345	cellular response to cytokine stimulus	583	42	0.568565366342887	1.6559122073545e-08	6.62580174943801e-07	Higher in TB	FALSE
GO:1901739	regulation of myoblast fusion	56	3	0.281951051097131	1.66307864936785e-08	6.62580174943801e-07	Lower in TB	TRUE
GO:0002221	pattern recognition receptor signaling pathway	254	21	0.601809544732975	2.37408008807449e-08	9.39042613254213e-07	Higher in TB	TRUE
GO:0019646	aerobic electron transport chain	81	0	0.679255342103778	2.45636666562632e-08	9.57874218943898e-07	Higher in TB	TRUE
GO:2000377	regulation of reactive oxygen species metabolic process	112	4	0.652569200757226	2.45653446473426e-08	9.57874218943898e-07	Higher in TB	TRUE
GO:0022904	respiratory electron transport chain	103	0	0.658516721475322	2.73834526165473e-08	1.06024100342096e-06	Higher in TB	TRUE
GO:0051234	establishment of localization	3554	73	0.52986763741937	2.85499575092274e-08	1.09105431182687e-06	Higher in TB	FALSE
GO:0006281	DNA repair	595	6	0.433245260938289	2.85761769558147e-08	1.09105431182687e-06	Lower in TB	FALSE
GO:0019730	antimicrobial humoral response	96	12	0.663790590240402	2.94336444106591e-08	1.11604259979175e-06	Higher in TB	TRUE
GO:0032757	positive regulation of interleukin-8 production	55	4	0.715776420561341	3.11108769857071e-08	1.17155891553026e-06	Higher in TB	TRUE
GO:0015980	energy derivation by oxidation of organic compounds	339	6	0.587554411885121	3.14387498256963e-08	1.17585201729033e-06	Higher in TB	FALSE
GO:0006909	phagocytosis	197	8	0.614377741999905	3.17331201316051e-08	1.17884253029436e-06	Higher in TB	TRUE
