GO_ID	term	topGO_pvalue	topGO_significant	Wilcoxon_pvalue	Wilcoxon_significant	n_methods_included	n_methods_significant	median_pvalue
GO:0010463	mesenchymal cell proliferation	1.0	False	0.965929652011422	False	2	0	0.982964826005711
GO:0007143	female meiotic nuclear division	1.0	False	0.966045839765594	False	2	0	0.983022919882797
GO:0032354	response to follicle-stimulating hormone	1.0	False	0.967403380625318	False	2	0	0.983701690312659
GO:0032890	regulation of organic acid transport	1.0	False	0.967403380625318	False	2	0	0.983701690312659
GO:0033572	transferrin transport	1.0	False	0.967403380625318	False	2	0	0.983701690312659
GO:0097300	programmed necrotic cell death	1.0	False	0.967403380625318	False	2	0	0.983701690312659
GO:1901989	positive regulation of cell cycle phase transition	1.0	False	0.967924613793826	False	2	0	0.983962306896913
GO:0055089	fatty acid homeostasis	1.0	False	0.968436276608083	False	2	0	0.9842181383040415
GO:0006650	glycerophospholipid metabolic process	1.0	False	0.969020350537246	False	2	0	0.984510175268623
GO:0050847	progesterone receptor signaling pathway	1.0	False	0.969241316864994	False	2	0	0.984620658432497
GO:0030258	lipid modification	1.0	False	0.969432106384232	False	2	0	0.984716053192116
GO:0051438	regulation of ubiquitin-protein transferase activity	1.0	False	0.970017742289585	False	2	0	0.9850088711447925
GO:0055007	cardiac muscle cell differentiation	1.0	False	0.970917385601462	False	2	0	0.985458692800731
GO:2000300	regulation of synaptic vesicle exocytosis	1.0	False	0.971033280595039	False	2	0	0.9855166402975195
GO:0033674	positive regulation of kinase activity	1.0	False	0.971069921868882	False	2	0	0.985534960934441
GO:0052652	cyclic purine nucleotide metabolic process	1.0	False	0.971075812002733	False	2	0	0.9855379060013665
GO:1904627	response to phorbol 13-acetate 12-myristate	1.0	False	0.971075812002733	False	2	0	0.9855379060013665
GO:0009268	response to pH	1.0	False	0.972222345764126	False	2	0	0.9861111728820631
GO:0016553	base conversion or substitution editing	1.0	False	0.972222345764126	False	2	0	0.9861111728820631
GO:0006613	cotranslational protein targeting to membrane	1.0	False	0.972241026606618	False	2	0	0.9861205133033091
GO:0098900	regulation of action potential	1.0	False	0.972241026606618	False	2	0	0.9861205133033091
GO:0050953	sensory perception of light stimulus	1.0	False	0.973219691926469	False	2	0	0.9866098459632344
GO:0042552	myelination	1.0	False	0.973255996905589	False	2	0	0.9866279984527945
GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	1.0	False	0.974014197353916	False	2	0	0.987007098676958
GO:0007141	male meiosis I	1.0	False	0.974014197353916	False	2	0	0.987007098676958
GO:0043392	negative regulation of DNA binding	1.0	False	0.974014197353916	False	2	0	0.987007098676958
GO:0065002	intracellular protein transmembrane transport	1.0	False	0.974014197353916	False	2	0	0.987007098676958
GO:0072170	metanephric tubule development	1.0	False	0.974014197353916	False	2	0	0.987007098676958
GO:0072207	metanephric epithelium development	1.0	False	0.974014197353916	False	2	0	0.987007098676958
GO:0072243	metanephric nephron epithelium development	1.0	False	0.974014197353916	False	2	0	0.987007098676958
GO:1902110	positive regulation of mitochondrial membrane permeability involved in apoptotic process	1.0	False	0.974014197353916	False	2	0	0.987007098676958
GO:0098712	L-glutamate import across plasma membrane	1.0	False	0.975516518291615	False	2	0	0.9877582591458075
GO:1902692	regulation of neuroblast proliferation	1.0	False	0.975516518291615	False	2	0	0.9877582591458075
GO:0016482	cytosolic transport	1.0	False	0.975952491837074	False	2	0	0.987976245918537
GO:0021772	olfactory bulb development	1.0	False	0.975952491837074	False	2	0	0.987976245918537
GO:0021988	olfactory lobe development	1.0	False	0.975952491837074	False	2	0	0.987976245918537
GO:0036500	ATF6-mediated unfolded protein response	1.0	False	0.975952491837074	False	2	0	0.987976245918537
GO:0170044	non-proteinogenic amino acid catabolic process	1.0	False	0.975952491837074	False	2	0	0.987976245918537
GO:0061734	type 2 mitophagy	1.0	False	0.976531967684846	False	2	0	0.988265983842423
GO:0009304	tRNA transcription	1.0	False	0.976567985991474	False	2	0	0.988283992995737
GO:0002732	positive regulation of dendritic cell cytokine production	1.0	False	0.97848120612002	False	2	0	0.98924060306001
GO:0008088	axo-dendritic transport	1.0	False	0.97848120612002	False	2	0	0.98924060306001
GO:0016081	synaptic vesicle docking	1.0	False	0.97848120612002	False	2	0	0.98924060306001
GO:0046337	phosphatidylethanolamine metabolic process	1.0	False	0.97848120612002	False	2	0	0.98924060306001
GO:2000027	regulation of animal organ morphogenesis	1.0	False	0.97848120612002	False	2	0	0.98924060306001
GO:0006817	phosphate ion transport	1.0	False	0.978523523886513	False	2	0	0.9892617619432564
GO:0010717	regulation of epithelial to mesenchymal transition	1.0	False	0.978701743805899	False	2	0	0.9893508719029496
