GO_ID	term	annotated	significant_genes	expected	fold_enrichment	pvalue_weight01	pvalue_classic	padj_classic_BH	significant	n_higher_in_TB	n_lower_in_TB	genes_higher_in_TB	genes_lower_in_TB
GO:0045087	innate immune response	847	70	14.57	4.80439258750858	2.799016320515806e-14	7.674394156016808e-30	3.0138442192700295e-27	TRUE	65	5	C1QB;C1QA;C2;C1QC;NLRC4;H2BC21;H2BC12;AIM2;TLR5;FCER1G;TIFA;FCGR1A;SERPING1;VNN1;CD274;MARCO;GBP5;PLSCR1;PGLYRP1;GBP1;TREML1;IFITM1;CASP1;CLU;CR1;PSMB9;CEACAM1;CASP4;GBP2;CALHM6;TRIM21;MSRB1;APOL1;LCN2;UBE2L6;PSME2;CD177;IFITM3;FFAR2;LILRA5;S100A12;PARP9;CLEC4E;GBP4;STAT1;TRIM22;NAIP;DEFA1;LTF;IRF7;IFI35;IFIT3;PML;OAS1;S100A8;PARP14;RSAD2;IFI6;LY6E;OAS3;DEFA1;OASL;IFIT2;ISG15;DEFA3	CD6;NOP53;CD2;IGHM;OGT
GO:0042742	defense response to bacterium	190	32	3.27	9.785932721712538	4.413669360795004e-14	7.279623755009958e-23	2.1064932318444602e-20	TRUE	29	3	NLRC4;H2BC21;H2BC12;HP;IL18RAP;ADM;GBP5;PGLYRP1;GBP1;CASP1;IL1B;CASP4;GBP2;ANXA3;APOL1;LCN2;PPBP;S100A12;GBP4;NAIP;DEFA1;LTF;STAB1;OAS1;S100A8;OAS3;DEFA1;ISG15;DEFA3	IL7R;IGHM;GNLY
GO:0050830	defense response to Gram-positive bacterium	60	13	1.03	12.62135922330097	2.073132799733863e-11	2.073132799733863e-11	1.8685383824486524e-9	TRUE	12	1	H2BC21;H2BC12;IL18RAP;ADM;PGLYRP1;IL1B;CASP4;GBP2;GBP4;DEFA1;DEFA1;DEFA3	IL7R
GO:0031640	killing of cells of another organism	55	12	0.95	12.631578947368421	1.1480937061302518e-10	1.1480937061302518e-10	9.282675288682537e-9	TRUE	11	1	H2BC12;GBP5;PGLYRP1;GBP1;GBP2;PPBP;S100A12;DEFA1;LTF;DEFA1;DEFA3	GNLY
GO:0046631	alpha-beta T cell activation	168	19	2.89	6.5743944636678195	1.2625411959888748e-10	7.989171542788455e-11	6.972137324166813e-9	TRUE	7	12	IL18RAP;SOCS3;LILRB4;CD274;PSMB9;SEMA4A;RSAD2	TRAC;TRBC1;LCK;TRBC2;CD3G;CD3E;CD247;GPR183;CLEC2D;RORA;ITK;RUNX3
GO:0050729	positive regulation of inflammatory response	124	16	2.13	7.511737089201878	9.63674778918622e-10	3.640625593460194e-10	2.704886420654614e-8	TRUE	15	1	NLRC4;AIM2;CASP5;GBP5;GBP1;CASP1;IL1B;CASP4;GBP2;FFAR2;LILRA5;S100A12;NAIP;IFI35;S100A8	ETS1
GO:0002221	pattern recognition receptor signaling pathway	254	21	4.37	4.805491990846682	6.498996184228676e-9	2.7299439597478547e-9	1.9748989329860136e-7	TRUE	19	2	NLRC4;AIM2;TLR5;TIFA;CD274;GBP5;CASP1;GBP2;FFAR2;CLEC4E;NAIP;LTF;IRF7;IFI35;OAS1;S100A8;RSAD2;OAS3;OASL	NOP53;OGT
GO:0051607	defense response to virus	266	27	4.58	5.895196506550218	7.142105017217893e-9	9.447940865282776e-14	9.61940349580087e-12	TRUE	27	0	AIM2;GBP5;PLSCR1;GBP1;IFITM1;CASP1;IL1B;GBP2;TRIM21;IFITM3;PARP9;STAT1;TRIM22;DEFA1;IRF7;IFIT3;PML;OAS1;IFI44L;RSAD2;IFI6;OAS3;DEFA1;OASL;IFIT2;ISG15;DEFA3	
GO:0070269	pyroptotic inflammatory response	40	9	0.69	13.043478260869566	1.936541243662084e-8	1.936541243662084e-8	1.238035320657458e-6	TRUE	9	0	NLRC4;AIM2;GBP5;GBP1;CASP1;CASP4;GBP2;TRIM21;NAIP	
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	69	11	1.19	9.243697478991598	2.326702845489408e-8	2.326702845489408e-8	1.4536604823296324e-6	TRUE	10	1	H2BC21;H2BC12;ADM;PGLYRP1;PPBP;S100A12;DEFA1;LTF;DEFA1;DEFA3	GNLY
GO:0050832	defense response to fungus	41	8	0.71	11.267605633802818	1.97902887960095e-7	3.971325709513534e-7	1.8822714440435696e-5	TRUE	7	1	S100A12;CLEC4E;DEFA1;LTF;S100A8;DEFA1;DEFA3	GNLY
GO:0050852	T cell receptor signaling pathway	130	18	2.24	8.035714285714285	6.295517538076233e-7	8.260412884156984e-12	7.697584752050017e-10	TRUE	6	12	DUSP3;PDCD1LG2;LILRB4;CD274;GBP1;CEACAM1	TRAC;TRBC1;LCK;TRBC2;ZAP70;CD3G;CD3E;EZR;CD247;CLEC2D;ITK;CD8A
GO:0006955	immune response	1713	122	29.47	4.139803189684425	6.684380955113724e-7	1.2968165140688175e-49	7.129897194350359e-46	TRUE	91	31	DUSP3;C1QB;C1QA;C2;C1QC;NLRC4;PDCD1LG2;H2BC21;H2BC12;LIMK1;MAPK14;AIM2;ASGR2;TLR5;FCER1G;IL18RAP;ICAM1;TIFA;FCGR1A;SERPING1;VNN1;TNFSF13;SOCS3;ADM;LILRB4;CD274;MARCO;GBP5;ANKRD22;SECTM1;C3AR1;PLSCR1;DYSF;PGLYRP1;GBP1;TREML1;IFITM1;CASP1;IL1B;CLU;CR1;PSMB9;CEACAM1;CASP4;GBP2;CALHM6;TRIM21;RHBDF2;MSRB1;ANXA3;APOL1;TAP1;LCN2;UBE2L6;PSME2;CD177;IFITM3;FFAR2;LILRA5;PPBP;S100A12;PARP9;SEMA4A;CLEC4E;LILRA6;GBP4;STAT1;TRIM22;TNFSF13B;NAIP;DEFA1;TNFSF10;LTF;IRF7;IFI44;IFI35;IFIT3;PML;OAS1;IFI44L;S100A8;PARP14;RSAD2;IFI6;LY6E;OAS3;DEFA1;OASL;IFIT2;ISG15;DEFA3	TRAC;TRBC1;FCMR;LCK;TRBC2;CD6;ZAP70;CD3G;CD3E;NOP53;ETS1;TCF7;CD5;CD79A;CD2;MS4A1;EZR;IL32;TNFRSF13C;CD247;GPR183;CLEC2D;RORA;ITK;CD22;IL7R;CD79B;IGHM;CD8A;OGT;GNLY
GO:0045071	negative regulation of viral genome replication	45	8	0.77	10.38961038961039	8.443968165498346e-7	8.443968165498346e-7	3.7139949579127926e-5	TRUE	8	0	PLSCR1;IFITM1;IFITM3;OAS1;RSAD2;OAS3;OASL;ISG15	
GO:0050860	negative regulation of T cell receptor signaling pathway	32	7	0.55	12.727272727272727	9.483524794177381e-7	9.483524794177381e-7	4.1381285173323204e-5	TRUE	6	1	DUSP3;PDCD1LG2;LILRB4;CD274;GBP1;CEACAM1	EZR
GO:0002227	innate immune response in mucosa	23	6	0.4	15	1.9165232149536036e-6	1.9165232149536036e-6	7.168057575384295e-5	TRUE	6	0	H2BC21;H2BC12;DEFA1;LTF;DEFA1;DEFA3	
GO:0019731	antibacterial humoral response	51	8	0.88	9.090909090909092	2.282528013773894e-6	2.282528013773894e-6	8.370627591692763e-5	TRUE	7	1	H2BC21;H2BC12;ADM;DEFA1;LTF;DEFA1;DEFA3	IGHM
GO:0035456	response to interferon-beta	30	7	0.52	13.461538461538462	2.737341847476858e-6	5.90647020541349e-7	2.706147765780281e-5	TRUE	7	0	AIM2;PLSCR1;IFITM1;IFITM3;STAT1;XAF1;OAS1	
GO:0071222	cellular response to lipopolysaccharide	172	14	2.96	4.72972972972973	6.277697527784129e-6	1.593396164971244e-6	6.169360644374577e-5	TRUE	13	1	PDCD1LG2;MAPK14;IL18RAP;CARD16;CD274;GBP5;CASP1;IL1B;GBP2;LCN2;PPBP;LTF;MMP9	CD6
GO:0002250	adaptive immune response	637	40	10.96	3.64963503649635	6.675180445080294e-6	7.651075572554799e-13	7.648293363255689e-11	TRUE	23	17	C1QB;C1QA;C2;C1QC;PDCD1LG2;FCER1G;IL18RAP;FCGR1A;TNFSF13;SOCS3;LILRB4;CD274;SECTM1;IL1B;CLU;CR1;PSMB9;CEACAM1;TAP1;SEMA4A;LILRA6;IRF7;RSAD2	TRAC;TRBC1;FCMR;TRBC2;CD6;ZAP70;CD3G;CD3E;CD79A;TNFRSF13C;CD247;GPR183;RORA;ITK;CD79B;IGHM;CD8A
GO:0038094	Fc-gamma receptor signaling pathway	32	5	0.55	9.09090909090909	9.93517734844517e-6	1.9864554289695846e-4	0.00436861277938991	TRUE	3	2	LIMK1;FCER1G;FCGR1A	LCK;CD247
GO:0006958	complement activation, classical pathway	30	6	0.52	11.538461538461538	1.019253749456264e-5	1.019253749456264e-5	3.181894476044817e-4	TRUE	6	0	C1QB;C1QA;C2;C1QC;CLU;CR1	
GO:0046629	gamma-delta T cell activation	18	5	0.31	16.129032258064516	1.0285633171390148e-5	1.0285633171390148e-5	3.181894476044817e-4	TRUE	0	5		CD3G;CD3E;TCF7;CD247;ITK
GO:0070106	interleukin-27-mediated signaling pathway	10	4	0.17	23.52941176470588	1.6508769721111405e-5	1.6508769721111405e-5	4.7521055458989793e-4	TRUE	4	0	STAT1;OAS1;OAS3;OASL	
GO:0050829	defense response to Gram-negative bacterium	49	7	0.84	8.333333333333334	1.8878072078582917e-5	1.8878072078582917e-5	5.350084550930354e-4	TRUE	6	1	H2BC12;ADM;DEFA1;LTF;DEFA1;DEFA3	IGHM
GO:0031295	T cell costimulation	38	6	0.65	9.23076923076923	4.2243854503842287e-5	4.2243854503842287e-5	0.0011274597672918684	TRUE	3	3	PDCD1LG2;LILRB4;CD274	LCK;CD5;TNFRSF13C
GO:0060337	type I interferon-mediated signaling pathway	62	8	1.07	7.4766355140186915	4.463046549532149e-5	1.0301513581956665e-5	3.181894476044817e-4	TRUE	8	0	IFITM1;IFITM3;STAT1;IRF7;OAS1;OAS3;OASL;ISG15	
GO:0006953	acute-phase response	27	5	0.46	10.869565217391305	8.541069568890241e-5	8.541069568890241e-5	0.00210577580671563	TRUE	5	0	HP;PLSCR1;IL1B;LCN2;APOL2	
GO:0046456	icosanoid biosynthetic process	41	5	0.71	7.042253521126761	9.49280034772464e-5	6.519280644496852e-4	0.0122750017066588	TRUE	5	0	NLRC4;CASP1;IL1B;LTA4H;NAIP	
GO:0042832	defense response to protozoan	15	4	0.26	15.384615384615383	1.0027310695690513e-4	1.0027310695690513e-4	0.0024393873541994	TRUE	4	0	BATF2;GBP1;GBP2;GBP4	
GO:0002230	positive regulation of defense response to virus by host	30	5	0.52	9.615384615384615	1.445638901406965e-4	1.445638901406965e-4	0.003297976215740869	TRUE	5	0	AIM2;PARP9;STAT1;TRIM22;PML	
GO:0033209	tumor necrosis factor-mediated signaling pathway	103	11	1.77	6.214689265536723	1.4745354916060642e-4	1.5238033643117706e-6	5.9417524092100105e-5	TRUE	9	2	MAPK14;AIM2;CARD16;TIFA;CASP1;CASP4;STAT1;TNFSF13B;NAIP	TMC8;TNFRSF13C
GO:0043368	positive T cell selection	35	4	0.6	6.666666666666667	1.6592633211473786e-4	0.002938162513808207	0.04450142562236232	TRUE	1	3	SOCS3	ZAP70;CD3G;CD3E
GO:0050853	B cell receptor signaling pathway	69	9	1.19	7.563025210084034	1.7146865333076723e-4	2.6032746489502114e-6	9.354773869234158e-5	TRUE	0	9		FCMR;LCK;CD5;CD79A;MS4A1;ITK;CD22;CD79B;IGHM
GO:0042058	regulation of epidermal growth factor receptor signaling pathway	58	5	1	5	2.5999787546984553e-4	0.003147647704908046	0.0474130604974916	TRUE	5	0	DUSP3;CEACAM1;RHBDF2;MMP9;IFI6	
GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	50	3	0.86	3.488372093023256	2.941432086282405e-4	0.05454822171162133	0.4136636178903367	TRUE	3	0	LILRB4;CD274;LTF	
GO:0032731	positive regulation of interleukin-1 beta production	55	6	0.95	6.315789473684211	3.4776740882831194e-4	3.4776740882831194e-4	0.007055443593129368	TRUE	6	0	NLRC4;AIM2;GBP5;CASP1;LILRA5;NAIP	
GO:0010575	positive regulation of vascular endothelial growth factor production	21	4	0.36	11.11111111111111	4.0540336908781726e-4	4.0540336908781726e-4	0.008105118993617525	TRUE	3	1	HPSE;C3AR1;IL1B	RORA
GO:0071639	positive regulation of monocyte chemotactic protein-1 production	10	3	0.17	17.64705882352941	5.512436381571543e-4	5.512436381571543e-4	0.010596984344713406	TRUE	3	0	IL1B;OAS1;OAS3	
GO:0071346	cellular response to type II interferon	66	8	1.14	7.017543859649123	6.191860936575697e-4	1.649616824431749e-5	4.7521055458989793e-4	TRUE	8	0	GBP5;GBP1;CASP1;GBP2;PARP9;GBP4;STAT1;PARP14	
GO:0045061	thymic T cell selection	24	4	0.41	9.75609756097561	6.912288045359447e-4	6.912288045359447e-4	0.01297056644142875	TRUE	1	3	PSMB9	ZAP70;CD3G;CD3E
GO:0070486	leukocyte aggregation	11	3	0.19	15.789473684210526	7.48362777087993e-4	7.48362777087993e-4	0.013853530466093555	TRUE	2	1	IL1B;S100A8	ZAP70
GO:0031342	negative regulation of cell killing	30	3	0.52	5.769230769230769	8.696538116961933e-4	0.014484206801258196	0.1568604291473393	TRUE	3	0	CLU;CR1;CEACAM1	
GO:0032691	negative regulation of interleukin-1 beta production	26	4	0.45	8.88888888888889	9.466627048760144e-4	9.466627048760144e-4	0.01734917183802776	TRUE	4	0	CARD16;LILRB4;IL1B;PML	
GO:0046007	negative regulation of activated T cell proliferation	13	3	0.22	13.636363636363637	0.0012645610991072333	0.0012645610991072333	0.022141901028317097	TRUE	3	0	PDCD1LG2;LILRB4;CD274	
GO:0045916	negative regulation of complement activation	13	3	0.22	13.636363636363637	0.0012645610991072333	0.0012645610991072333	0.022141901028317097	TRUE	3	0	SERPING1;CLU;CR1	
GO:0140374	antiviral innate immune response	70	6	1.2	5	0.0012701829551011324	0.0012701829551011324	0.022169732975066747	TRUE	6	0	TRIM21;IFIT3;OAS1;OAS3;OASL;IFIT2	
GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	48	5	0.83	6.024096385542169	0.0013512882471282287	0.0013512882471282287	0.02336283893934277	TRUE	4	1	SEPTIN4;VNN1;CLU;S100A8	LCK
GO:0042102	positive regulation of T cell proliferation	71	6	1.22	4.918032786885246	0.0013678461308294942	0.0013678461308294942	0.02357497814200802	TRUE	3	3	PDCD1LG2;CD274;IL1B	CD6;CD3E;TNFRSF13C
GO:0030890	positive regulation of B cell proliferation	29	4	0.5	8	0.001444486752570036	0.001444486752570036	0.024663938402577818	TRUE	2	2	TNFSF13;TNFSF13B	TNFRSF13C;GPR183
GO:0045648	positive regulation of erythrocyte differentiation	29	4	0.5	8	0.001444486752570036	0.001444486752570036	0.024663938402577818	TRUE	3	1	MAPK14;STAT1;ISG15	ETS1
GO:0098883	synapse pruning	14	3	0.24	12.5	0.0015891132911072042	0.0015891132911072042	0.02615851758834553	TRUE	3	0	C1QB;C1QA;C1QC	
GO:0002283	neutrophil activation involved in immune response	14	3	0.24	12.5	0.0015891132911072042	0.0015891132911072042	0.02615851758834553	TRUE	3	0	FCER1G;ANXA3;CD177	
GO:0016045	detection of bacterium	14	3	0.24	12.5	0.0015891132911072042	0.0015891132911072042	0.02615851758834553	TRUE	3	0	NLRC4;PGLYRP1;NAIP	
GO:0032689	negative regulation of type II interferon production	30	4	0.52	7.692307692307692	0.001644474885251474	0.001644474885251474	0.026908699164025607	TRUE	4	0	PDCD1LG2;LILRB4;CD274;CR1	
GO:0032760	positive regulation of tumor necrosis factor production	100	7	1.72	4.069767441860465	0.001678225617614361	0.001678225617614361	0.027298474691253717	TRUE	6	1	FCGR1A;CLU;PSMB9;LILRA5;OAS1;OAS3	CD2
GO:0030168	platelet activation	105	8	1.81	4.419889502762431	0.001782055138434268	4.512047906552503e-4	0.008891483652410631	TRUE	7	1	MAPK14;FCER1G;PLSCR1;TREML1;CEACAM1;MYL9;GP1BB	LCK
GO:0016525	negative regulation of angiogenesis	78	6	1.34	4.477611940298507	0.002221030632805494	0.002221030632805494	0.035190854233903765	TRUE	5	1	SEMA4A;STAT1;SPARC;STAB1;PML	KLF2
GO:0007155	cell adhesion	1053	43	18.11	2.3743787962451686	0.00225103614131666	7.511837092097161e-8	4.130008033235019e-6	TRUE	27	16	DUSP3;SMARCD3;PDCD1LG2;ST3GAL4;MAPK14;ICAM1;SCARF1;VNN1;LILRB4;CD274;VCAN;HPSE;GBP1;LRG1;IL1B;CR1;PSMB9;CEACAM1;CD177;ITGA2B;TNFAIP6;SIGLEC5;MYL9;STAB1;PML;GP1BB;S100A8	S1PR1;LCK;CD6;ZAP70;CD3E;ETS1;SPOCK2;CD5;CD2;EZR;IL32;TNFRSF13C;CD22;IL7R;RUNX3;ATM
GO:0002281	macrophage activation involved in immune response	16	3	0.28	10.714285714285714	0.0023834980189812037	0.0023834980189812037	0.03722861394420073	TRUE	3	0	DYSF;IL1B;IFI35	
GO:0061756	leukocyte adhesion to vascular endothelial cell	41	4	0.71	5.633802816901409	0.0028128237898002975	0.0052447246428341775	0.07033047825927392	TRUE	3	1	ST3GAL4;ICAM1;LRG1	ETS1
GO:0002637	regulation of immunoglobulin production	46	3	0.79	3.7974683544303796	0.002839504443766855	0.044381640646213145	0.3658324741722337	TRUE	2	1	TNFSF13;CR1	CD22
GO:0032693	negative regulation of interleukin-10 production	17	3	0.29	10.344827586206897	0.0028577834146773983	0.0028577834146773983	0.04352380391661035	TRUE	3	0	PDCD1LG2;LILRB4;CD274	
GO:0034341	response to type II interferon	102	12	1.75	6.857142857142857	0.0029200977405089952	1.7352238611338773e-7	9.000246026900054e-6	TRUE	12	0	GBP5;GBP1;IFITM1;CASP1;PSMB9;GBP2;TRIM21;IFITM3;PARP9;GBP4;STAT1;PARP14	
GO:0046597	host-mediated suppression of symbiont invasion	18	3	0.31	9.67741935483871	0.0033861708323200943	0.0033861708323200943	0.04972868955721957	TRUE	3	0	IFITM1;IFITM3;LY6E	
GO:0071356	cellular response to tumor necrosis factor	165	16	2.84	5.633802816901409	0.003522530826501778	2.444053377244525e-8	1.5098208391112807e-6	TRUE	12	4	MAPK14;AIM2;CARD16;TIFA;GBP1;CASP1;CASP4;GBP2;LCN2;STAT1;TNFSF13B;NAIP	ZFP36L2;KLF2;TMC8;TNFRSF13C
GO:2001185	regulation of CD8-positive, alpha-beta T cell activation	19	3	0.33	9.09090909090909	0.0039705025701128275	0.0039705025701128275	0.05595209146364467	TRUE	2	1	LILRB4;CD274	RUNX3
GO:0060339	negative regulation of type I interferon-mediated signaling pathway	19	3	0.33	9.09090909090909	0.0039705025701128275	0.0039705025701128275	0.05595209146364467	TRUE	3	0	OAS1;OAS3;ISG15	
GO:0002701	negative regulation of production of molecular mediator of immune response	27	3	0.46	6.521739130434782	0.004198671852443031	0.010835333599925225	0.12838936235428638	TRUE	2	1	LILRB4;CR1	CD22
GO:0030520	estrogen receptor signaling pathway	48	4	0.83	4.819277108433735	0.004583071331118695	0.009180294392770136	0.11166650126427037	TRUE	3	1	DEFA1;DEFA1;DEFA3	LBH
GO:0050995	negative regulation of lipid catabolic process	20	3	0.34	8.823529411764705	0.004612477507307319	0.004612477507307319	0.06324040233210883	TRUE	3	0	IL1B;HCAR3;HCAR2	
GO:0032682	negative regulation of chemokine production	20	3	0.34	8.823529411764705	0.004612477507307319	0.004612477507307319	0.06324040233210883	TRUE	3	0	LILRB4;OAS1;OAS3	
GO:0045582	positive regulation of T cell differentiation	91	7	1.57	4.45859872611465	0.00463962879828204	9.663666422440298e-4	0.017651441192882644	TRUE	4	3	SMARCD3;VNN1;LILRB4;CR1	ZAP70;IL7R;RUNX3
GO:0030217	T cell differentiation	238	24	4.09	5.8679706601467	0.004860887685577438	2.810635336858283e-12	2.7110303652713754e-10	TRUE	10	14	SMARCD3;IL18RAP;VNN1;SOCS3;LILRB4;IL1B;CR1;PSMB9;SEMA4A;RSAD2	ZFP36L2;IKZF3;LCK;ZAP70;CD3G;CD3E;TCF7;CD2;GPR183;RORA;ITK;IL7R;RUNX3;CD8A
GO:0007166	cell surface receptor signaling pathway	2063	90	35.49	2.53592561284869	0.005280804847160337	1.1824386133782962e-18	2.241740515984094e-16	TRUE	59	31	DUSP3;PDCD1LG2;LIMK1;MAPK14;AIM2;ASGR2;TLR5;FCER1G;IL18RAP;ICAM1;CARD16;TIFA;KREMEN1;OSCAR;FCGR1A;SOCS3;SORT1;LILRB4;CD274;MARCO;C3AR1;PLSCR1;GBP1;GRINA;LRG1;IFITM1;CASP1;IL1B;CR1;CEACAM1;CASP4;RHBDF2;CD177;IFITM3;ITGA2B;P2RY14;FFAR2;LILRA5;PARP9;SEMA4A;TNFAIP6;LILRA6;STAT1;TNFSF13B;NAIP;TNFSF10;LTF;IRF7;IFI35;PML;MMP9;GP1BB;OAS1;PARP14;IFI6;LY6E;OAS3;OASL;ISG15	TRAC;EVL;TRBC1;TMC8;FCMR;TLE5;LCK;CABIN1;TRBC2;CD6;ZAP70;CD3G;CD3E;TCF7;CD5;CD79A;CD2;MS4A1;EZR;BCL9L;TNFRSF13C;CD247;CLEC2D;RORA;ITK;CD22;IL7R;CD79B;IGHM;CD8A;OGT
GO:0010818	T cell chemotaxis	21	3	0.36	8.333333333333334	0.005313656530343899	0.005313656530343899	0.07073724843542556	TRUE	2	1	DEFA1;DEFA1	GPR183
GO:0045671	negative regulation of osteoclast differentiation	21	3	0.36	8.333333333333334	0.005313656530343899	0.005313656530343899	0.07073724843542556	TRUE	3	0	LILRB4;TNFAIP6;LTF	
GO:0045824	negative regulation of innate immune response	84	8	1.44	5.555555555555555	0.005435209178529739	9.603889601850363e-5	0.002357240403168451	TRUE	8	0	SERPING1;CR1;CEACAM1;TRIM21;OAS1;PARP14;OAS3;ISG15	
GO:0048525	negative regulation of viral process	66	11	1.14	9.649122807017545	0.005449938326673702	1.4337285050563663e-8	9.497155808192652e-7	TRUE	10	1	PLSCR1;IFITM1;TRIM21;IFITM3;STAT1;OAS1;RSAD2;OAS3;OASL;ISG15	IL32
GO:0032728	positive regulation of interferon-beta production	42	4	0.72	5.555555555555555	0.005719981567732132	0.005719981567732132	0.07559725639276746	TRUE	4	0	IRF7;OAS1;OAS3;ISG15	
GO:0050790	regulation of catalytic activity	449	10	7.72	1.2953367875647668	0.005822536302669547	0.24565554635615147	0.9531504543868178	TRUE	10	0	MAPK14;PLSCR1;IL1B;CR1;CEACAM1;LILRA5;S100A12;PARP9;OAS1;OAS3	
GO:0030316	osteoclast differentiation	74	7	1.27	5.511811023622047	0.005847836971554422	2.7485971669782605e-4	0.005767857719101709	TRUE	5	2	MAPK14;OSCAR;LILRB4;TNFAIP6;LTF	EEIG1;GPR183
GO:0032703	negative regulation of interleukin-2 production	22	3	0.38	7.894736842105263	0.006075467798466441	0.006075467798466441	0.07953076656182974	TRUE	3	0	LILRB4;GBP1;CR1	
GO:0071347	cellular response to interleukin-1	72	5	1.24	4.032258064516129	0.006175099030075243	0.007922649600941807	0.09877262473010898	TRUE	4	1	GBP1;IL1B;GBP2;LCN2	KLF2
GO:0045766	positive regulation of angiogenesis	128	7	2.2	3.1818181818181817	0.006626060872237	0.006626060872237	0.08612312689257452	TRUE	6	1	ADM;HPSE;C3AR1;LRG1;IL1B;ANXA3	ETS1
GO:0031334	positive regulation of protein-containing complex assembly	165	8	2.84	2.8169014084507045	0.006869488055954116	0.00774005740593591	0.09729044096555654	TRUE	6	2	CDK5RAP2;SH3GLB1;GBP5;CLU;GBP2;ISG15	EVL;ATM
GO:0035458	cellular response to interferon-beta	23	3	0.4	7.5	0.00689921185297501	0.00689921185297501	0.08883341163385622	TRUE	3	0	AIM2;STAT1;OAS1	
GO:0045577	regulation of B cell differentiation	23	3	0.4	7.5	0.00689921185297501	0.00689921185297501	0.08883341163385622	TRUE	1	2	CR1	ZFP36L2;IKZF3
GO:0090200	positive regulation of release of cytochrome c from mitochondria	23	3	0.4	7.5	0.00689921185297501	0.00689921185297501	0.08883341163385622	TRUE	3	0	CASP1;TNFSF10;MMP9	
GO:0032729	positive regulation of type II interferon production	70	5	1.2	4.166666666666667	0.0070445729639732795	0.0070445729639732795	0.08986325326200717	TRUE	4	1	IL18RAP;IL1B;PSMB9;ISG15	CD2
GO:0045580	regulation of T cell differentiation	149	10	2.56	3.90625	0.007339094845870444	2.527435072349032e-4	0.005406940866838513	TRUE	5	5	SMARCD3;VNN1;LILRB4;CR1;PSMB9	ZAP70;TCF7;CD2;IL7R;RUNX3
GO:0061028	establishment of endothelial barrier	41	4	0.71	5.633802816901409	0.007719760636083772	0.0052447246428341775	0.07033047825927392	TRUE	3	1	ICAM1;HPSE;IL1B	EZR
GO:0002726	positive regulation of T cell cytokine production	24	3	0.41	7.317073170731708	0.007786066574180589	0.007786066574180589	0.09729044096555654	TRUE	3	0	SECTM1;IL1B;RSAD2	
GO:0046426	negative regulation of receptor signaling pathway via JAK-STAT	24	3	0.41	7.317073170731708	0.007786066574180589	0.007786066574180589	0.09729044096555654	TRUE	2	1	SOCS3;PARP14	IL7R
GO:0043374	CD8-positive, alpha-beta T cell differentiation	24	3	0.41	7.317073170731708	0.007786066574180589	0.007786066574180589	0.09729044096555654	TRUE	2	1	LILRB4;PSMB9	RUNX3
GO:0042981	regulation of apoptotic process	1021	39	17.56	2.2209567198177678	0.009366506063201448	1.8090128347922339e-6	6.828390806802806e-5	TRUE	27	12	NLRC4;SEPTIN4;ICAM1;CARD16;VNN1;GADD45B;SOCS3;CD274;CASP5;GRINA;CASP1;IL1B;CLU;CASP4;LCN2;STAT1;NAIP;HCAR2;TNFSF10;LTF;IRF7;IFIT3;PML;MMP9;S100A8;IFI6;IFIT2	IKZF3;TMC8;FCMR;TLE5;LCK;CD3G;CD3E;NOP53;ETS1;IL7R;ATM;FBXO7
GO:0022406	membrane docking	79	4	1.36	2.941176470588235	0.009726957125494567	0.04714309902526897	0.37455600930770055	TRUE	2	2	ICAM1;STX11	ESYT1;EZR
GO:0002767	immune response-inhibiting cell surface receptor signaling pathway	26	3	0.45	6.666666666666666	0.009753234940266378	0.009753234940266378	0.1173376054739268	TRUE	3	0	LILRB4;LILRA5;LILRA6	
GO:0071345	cellular response to cytokine stimulus	583	42	10.03	4.187437686939183	0.009797745636405179	1.6333500005463345e-15	2.1902825129277432e-13	TRUE	35	7	MAPK14;AIM2;FCER1G;IL18RAP;CARD16;TIFA;SOCS3;LILRB4;GBP5;GBP1;IFITM1;CASP1;IL1B;CEACAM1;CASP4;GBP2;LCN2;PSME2;IFITM3;LILRA5;PARP9;LILRA6;GBP4;STAT1;TNFSF13B;NAIP;IRF7;IFIT3;MT2A;OAS1;PARP14;OAS3;OASL;IFIT2;ISG15	ZFP36L2;KLF2;TMC8;TCF7;EZR;TNFRSF13C;IL7R
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	208	9	3.58	2.5139664804469275	0.009939479175995986	0.009939479175995986	0.11854068657185668	TRUE	9	0	CARD16;TIFA;SECTM1;CASP1;IL1B;S100A12;TRIM22;TNFSF10;LTF	
GO:0030183	B cell differentiation	104	10	1.79	5.58659217877095	0.010490019793820343	1.1837103242327533e-5	3.5956018578075567e-4	FALSE	2	8	CR1;TNFSF13B	ZFP36L2;IKZF3;CD79A;MS4A1;GPR183;ATM;CD79B;IGHM
GO:0043525	positive regulation of neuron apoptotic process	50	4	0.86	4.651162790697675	0.010580766566605546	0.010580766566605546	0.1259157025610331	FALSE	4	0	CASP5;CASP1;CASP4;LCN2	
