GO_ID	term	annotated	significant_genes	expected	fold_enrichment	pvalue_weight01	pvalue_classic	padj_classic_BH	significant	n_higher_in_TB	n_lower_in_TB	genes_higher_in_TB	genes_lower_in_TB
GO:0003081	regulation of systemic arterial blood pressure by renin-angiotensin	16	0	0.28	0	1	1	1	FALSE	0	0		
GO:0003085	negative regulation of systemic arterial blood pressure	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0003094	glomerular filtration	19	0	0.33	0	1	1	1	FALSE	0	0		
GO:0003143	embryonic heart tube morphogenesis	30	0	0.52	0	1	1	1	FALSE	0	0		
GO:0003148	outflow tract septum morphogenesis	14	0	0.24	0	1	1	1	FALSE	0	0		
GO:0003151	outflow tract morphogenesis	38	0	0.65	0	1	1	1	FALSE	0	0		
GO:0003161	cardiac conduction system development	18	0	0.31	0	1	1	1	FALSE	0	0		
GO:0003170	heart valve development	44	0	0.76	0	1	1	1	FALSE	0	0		
GO:0003171	atrioventricular valve development	18	0	0.31	0	1	1	1	FALSE	0	0		
GO:0003174	mitral valve development	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0003176	aortic valve development	27	0	0.46	0	1	1	1	FALSE	0	0		
GO:0003177	pulmonary valve development	16	0	0.28	0	1	1	1	FALSE	0	0		
GO:0003179	heart valve morphogenesis	36	0	0.62	0	1	1	1	FALSE	0	0		
GO:0003180	aortic valve morphogenesis	22	0	0.38	0	1	1	1	FALSE	0	0		
GO:0003181	atrioventricular valve morphogenesis	18	0	0.31	0	1	1	1	FALSE	0	0		
GO:0003183	mitral valve morphogenesis	10	0	0.17	0	1	1	1	FALSE	0	0		
GO:0003184	pulmonary valve morphogenesis	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0003197	endocardial cushion development	25	0	0.43	0	1	1	1	FALSE	0	0		
GO:0003203	endocardial cushion morphogenesis	22	0	0.38	0	1	1	1	FALSE	0	0		
GO:0003205	cardiac chamber development	67	0	1.15	0	1	1	1	FALSE	0	0		
GO:0003206	cardiac chamber morphogenesis	53	0	0.91	0	1	1	1	FALSE	0	0		
GO:0003208	cardiac ventricle morphogenesis	34	0	0.58	0	1	1	1	FALSE	0	0		
GO:0003209	cardiac atrium morphogenesis	13	0	0.22	0	1	1	1	FALSE	0	0		
GO:0003229	ventricular cardiac muscle tissue development	29	0	0.5	0	1	1	1	FALSE	0	0		
GO:0003230	cardiac atrium development	18	0	0.31	0	1	1	1	FALSE	0	0		
GO:0003231	cardiac ventricle development	53	0	0.91	0	1	1	1	FALSE	0	0		
GO:0003272	endocardial cushion formation	15	0	0.26	0	1	1	1	FALSE	0	0		
GO:0003279	cardiac septum development	45	0	0.77	0	1	1	1	FALSE	0	0		
GO:0003281	ventricular septum development	33	0	0.57	0	1	1	1	FALSE	0	0		
GO:0003283	atrial septum development	12	0	0.21	0	1	1	1	FALSE	0	0		
GO:0003298	physiological muscle hypertrophy	15	0	0.26	0	1	1	1	FALSE	0	0		
GO:0003299	muscle hypertrophy in response to stress	16	0	0.28	0	1	1	1	FALSE	0	0		
GO:0003300	cardiac muscle hypertrophy	59	0	1.01	0	1	1	1	FALSE	0	0		
GO:0003301	physiological cardiac muscle hypertrophy	15	0	0.26	0	1	1	1	FALSE	0	0		
GO:0003309	type B pancreatic cell differentiation	13	0	0.22	0	1	1	1	FALSE	0	0		
GO:0003323	type B pancreatic cell development	13	0	0.22	0	1	1	1	FALSE	0	0		
GO:0003351	epithelial cilium movement involved in extracellular fluid movement	18	0	0.31	0	1	1	1	FALSE	0	0		
GO:0003352	regulation of cilium movement	23	0	0.4	0	1	1	1	FALSE	0	0		
GO:0003356	regulation of cilium beat frequency	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0003382	epithelial cell morphogenesis	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0005513	detection of calcium ion	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0005979	regulation of glycogen biosynthetic process	23	0	0.4	0	1	1	1	FALSE	0	0		
GO:0005980	glycogen catabolic process	27	0	0.46	0	1	1	1	FALSE	0	0		
GO:0006004	fucose metabolic process	14	0	0.24	0	1	1	1	FALSE	0	0		
GO:0006012	galactose metabolic process	11	0	0.19	0	1	1	1	FALSE	0	0		
GO:0006044	N-acetylglucosamine metabolic process	15	0	0.26	0	1	1	1	FALSE	0	0		
GO:0006047	UDP-N-acetylglucosamine metabolic process	13	0	0.22	0	1	1	1	FALSE	0	0		
